instance,algorithm,run,seed,seed_status,best_length,bks,deviation_percent,archived_best_length,elapsed_seconds,segment,engine_mode,three_opt_max_iterations,record_provenance,correction_note
bayg29.tsp,MMAS,9,20283119,reconstructed_from_original_experiment_scripts,1693.0,1610.0,5.15527950310559,1693.0,0.99,small,mmas,20.0,archived_run_record,
bayg29.tsp,MMAS,10,20283120,reconstructed_from_original_experiment_scripts,1695.0,1610.0,5.279503105590062,1695.0,0.58,small,mmas,20.0,archived_run_record,
bayg29.tsp,MSA-ACO,1,20254110,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,2,20254111,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,3,20254112,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,4,20254113,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,5,20254114,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,6,20254115,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,7,20254116,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,8,20254117,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,9,20254118,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,MSA-ACO,10,20254119,reconstructed_from_original_experiment_scripts,1610.0,1610.0,0.0,1610.0,,small,hybrid_v4_2,,archived_run_record,
swiss42.tsp,ACS,1,20292111,reconstructed_from_original_experiment_scripts,1285.0,1273.0,0.9426551453260016,1285.0,2.08,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,2,20292112,reconstructed_from_original_experiment_scripts,1285.0,1273.0,0.9426551453260016,1285.0,1.66,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,3,20292113,reconstructed_from_original_experiment_scripts,1273.0,1273.0,0.0,1273.0,1.76,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,4,20292114,reconstructed_from_original_experiment_scripts,1285.0,1273.0,0.9426551453260016,1285.0,1.70,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,5,20292115,reconstructed_from_original_experiment_scripts,1286.0,1273.0,1.021209740769835,1286.0,1.79,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,6,20292116,reconstructed_from_original_experiment_scripts,1312.0,1273.0,3.063629222309505,1312.0,1.86,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,7,20292117,reconstructed_from_original_experiment_scripts,1291.0,1273.0,1.4139827179890023,1291.0,1.81,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,8,20292118,reconstructed_from_original_experiment_scripts,1322.0,1273.0,3.8491751767478397,1322.0,1.80,small,acs_end_seq,20.0,archived_run_record,
swiss42.tsp,ACS,9,20292119,reconstructed_from_original_experiment_scripts,1297.0,1273.0,1.8853102906520032,1297.0,2.03,small,acs_end_seq,20.0,archived_run_record,
