protocol_version,suite,instance,n,distance_type,segment,variant,engine_mode,run,seed,config_hash,best_length,bks,deviation_percent,ga_best_length,path_length_evaluations,distance_lookups,ga_path_evaluations,solver_path_evaluations,three_opt_path_evaluations,tour_constructions,two_opt_calls,two_opt_move_evaluations,two_opt_improvements,three_opt_calls,three_opt_candidate_evaluations,three_opt_improvements,local_search_evaluations,ga_generations,preprocessing_seconds,initialization_seconds,solver_seconds,local_search_seconds,total_seconds,switch_iteration,switch_reason
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,2,20360903,4ce816c4ab00a88a,26970,26524,1.68149600361936,31479,38401,416652738,2400,36001,0,36000,3000,102723147,122722,0,0,0,102723147,15,0.0283381999761332,2.22977889998583,507.970363900007,324.666560300015,510.2287947,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,3,20360904,4ce816c4ab00a88a,26721,26524,0.742723571105414,31447,41551,414962886,5550,36001,0,36000,3000,102182559,123035,0,0,0,102182559,36,0.0320524999988265,5.34666310000466,514.018154799996,328.095808200043,519.399158899992,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,4,20360905,4ce816c4ab00a88a,26921,26524,1.49675765344594,31365,40051,413298938,4050,36001,0,36000,3000,101822822,121257,0,0,0,101822822,26,0.0504749999963678,4.28066940000281,507.150305099989,324.071378500172,511.484388899989,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,5,20360906,4ce816c4ab00a88a,26734,26524,0.791735786457548,31479,38401,412039018,2400,36001,0,36000,3000,101569717,121342,0,0,0,101569717,15,0.0318254999874625,2.23425479998696,496.506373499986,316.787485600071,498.772933400003,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,6,20360907,4ce816c4ab00a88a,26870,26524,1.3044789624491,31479,38401,406126622,2400,36001,0,36000,3000,100091618,119463,0,0,0,100091618,15,0.0304870999825653,2.24839849999989,490.601023399999,311.527929600154,492.880907299987,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,7,20360908,4ce816c4ab00a88a,26841,26524,1.19514402050973,31086,42451,406346358,6450,36001,0,36000,3000,99994677,120367,0,0,0,99994677,42,0.0283377000014298,6.83503819999169,502.633120299986,317.408462099876,509.498026300018,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,8,20360909,4ce816c4ab00a88a,26806,26524,1.06318805610014,31750,40201,406165354,4200,36001,0,36000,3000,100033801,120689,0,0,0,100033801,27,0.0310895000002347,3.86749259999488,485.492095499998,308.596807300055,489.391613999993,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,9,20360910,4ce816c4ab00a88a,26773,26524,0.93877243251395,31354,40801,402046458,4800,36001,0,36000,3000,98981577,119365,0,0,0,98981577,31,0.0316402000025846,4.73314500000561,486.584013899992,307.290666800196,491.349811599997,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,10,20360911,4ce816c4ab00a88a,26868,26524,1.2969386216257,31479,38401,409195474,2400,36001,0,36000,3000,100858831,121137,0,0,0,100858831,15,0.0320923999825027,2.22999960000743,494.189256800018,315.07219350012,496.452445100003,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,11,20360912,4ce816c4ab00a88a,26817,26524,1.10465993062886,31342,41701,397882358,5700,36001,0,36000,3000,97906802,116974,0,0,0,97906802,37,0.0313762000005227,5.56844780000392,490.900744499988,308.328796899936,496.5014754,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,12,20360913,4ce816c4ab00a88a,26918,26524,1.48544714221083,31262,38701,408524506,2700,36001,0,36000,3000,100679839,121315,0,0,0,100679839,17,0.0320819000189658,2.48948550000205,491.006490500004,312.149608900188,493.528971200023,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,13,20360914,4ce816c4ab00a88a,26812,26524,1.08580907857035,31479,38401,407009554,2400,36001,0,36000,3000,100312351,121127,0,0,0,100312351,15,0.0306337999936659,2.31468670000322,537.150455800002,336.908714499936,539.496637999982,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,14,20360915,4ce816c4ab00a88a,26830,26524,1.153672145981,31497,41551,414861882,5550,36001,0,36000,3000,102157308,122037,0,0,0,102157308,36,0.0337855000107083,6.09264449999318,543.176277999999,345.436167399777,549.303630699986,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-3opt,hybrid_v4_2,15,20360916,4ce816c4ab00a88a,26795,26524,1.02171618157141,31436,38551,411457882,2550,36001,0,36000,3000,101418808,120967,0,0,0,101418808,16,0.032180000009248,2.55704039998818,524.991620899993,334.322512800107,527.582235400012,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-GA-init,hybrid_v4_2,1,20360902,c8487b3de7d8795f,26571,26524,0.177198009350023,,36001,3428888370,0,36001,0,36000,3000,100613532,121531,1200,503505682,15211,604119214,0,0.0246654000075068,0.000391599984141067,2358.1648607,2171.84274510035,2358.19622490002,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-GA-init,hybrid_v4_2,2,20360903,c8487b3de7d8795f,26615,26524,0.343085507464937,,36001,3348983622,0,36001,0,36000,3000,99685515,119544,1200,490806902,15861,590492417,0,0.0259593999944627,0.0000523999915458262,2307.85536849999,2122.91504420002,2307.88569300002,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-GA-init,hybrid_v4_2,3,20360904,c8487b3de7d8795f,26679,26524,0.584376413813904,,36001,3403336674,0,36001,0,36000,3000,101815881,121419,1200,498445500,15789,600261381,0,0.0326879000058398,0.00989250000566244,2349.00473340001,2163.31015709991,2349.09071410002,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-GA-init,hybrid_v4_2,4,20360905,c8487b3de7d8795f,26571,26524,0.177198009350023,,36001,3234818960,0,36001,0,36000,3000,97864742,118060,1200,472993307,14888,570858049,0,0.0565895999898203,0.000301499996567145,2266.62455799998,2079.65167010014,2266.68388990001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-GA-init,hybrid_v4_2,5,20360906,c8487b3de7d8795f,26664,26524,0.527823857638365,,36001,3301036390,0,36001,0,36000,3000,100190575,120984,1200,482478990,15063,582669565,0,0.0239336999948137,0.000109600019641221,2266.93479319999,2082.63989639972,2266.96193260001,135,forced_at_window_end
